Wight,Jeor Mormont,Fire,Fire/Burning,Attacked Sam Tarly,Beyond the Wall,Unknown,No Second Allegiance,Background Extra
Astapor slaver,Unsullied,Spear,Polearm,Ordered by Daenerys Targaryen during her sack of Astapor,Astapor,Good Masters,No Second Allegiance,Background Extra
Beric Dondarrion,Sandor “the Hound” Clegane,Sword,Blade,Killed during a trial by combat (Brought back to life by Thoros of Myr using the power of the Lord of Light),Riverlands,Brotherhood Without Banners,The Lord of Light,Secondary Major
Stark soldier,Karstark soldier,Sword,Blade,Killed protecting Willem and Martyn Lannister,Riverrun,House Stark,No Second Allegiance,Background Extra
Willem Lannister,Karstark soldier,Unknown,Unknown,"Rickard Karstark wanted revenge for the death of his two sons, who were killed by Jaime Lannister",Riverrun,House Lannister,No Second Allegiance,Minor Character
Martyn Lannister,Rickard Karstark,Knife,Blade,"Rickard Karstark wanted revenge for the death of his two sons, who were killed by Jaime Lannister",Riverrun,House Lannister,No Second Allegiance,Minor Character
Rickard Karstark,Robb Stark,Sword,Blade,Executed for murdering two Lannister prisoners,Riverrun,House Karstark,House Stark,Secondary Major
Wildling,Unknown,Falling,Falling,Fell while climbing the Wall,The Wall,Free Folk,No Second Allegiance,Background Extra
Wildling,Unknown,Falling,Falling,Fell while climbing the Wall,The Wall,Free Folk,No Second Allegiance,Background Extra
Wildling,Unknown,Falling,Falling,Fell while climbing the Wall,The Wall,Free Folk,No Second Allegiance,Background Extra
Wildling,Unknown,Falling,Falling,Fell while climbing the Wall,The Wall,Free Folk,No Second Allegiance,Background Extra
Wildling,Unknown,Falling,Falling,Fell while climbing the Wall,The Wall,Free Folk,No Second Allegiance,Background Extra
Wildling,Unknown,Falling,Falling,Fell while climbing the Wall,The Wall,Free Folk,No Second Allegiance,Background Extra
Ros,Joffrey Baratheon,Arrow,Arrow,"Killed for Joffrey’s sadistic pleasure. Given to Joffrey by Petyr Baelish, after spying for Varys.",King’s Landing,Varys,House Baelish,Secondary Major
Leech,Stannis Baratheon,Fire,Fire/Burning,Used as part of a magic ritual to kill the “usurpers”,Dragonstone,Unknown,No Second Allegiance,Background Extra
Leech,Stannis Baratheon,Fire,Fire/Burning,Used as part of a magic ritual to kill the “usurpers”,Dragonstone,Unknown,No Second Allegiance,Background Extra
Leech,Stannis Baratheon,Fire,Fire/Burning,Used as part of a magic ritual to kill the “usurpers”,Dragonstone,Unknown,No Second Allegiance,Background Extra
Mero,Daario Naharis,Unknown,Unknown,Daario Naharis did not want to kill Daenerys,Yunkai,Second Sons,No Second Allegiance,Minor Character
Prendahl na Ghezn,Daario Naharis,Unknown,Unknown,Daario Naharis did not want to kill Daenerys Targaryen,Yunkai,Second Sons,No Second Allegiance,Minor Character
White Walker,Sam Tarly,Dragonglass,Blade,Tried to take Gilly’s infant son,Beyond the Wall,Unknown,No Second Allegiance,Minor Character
Horse breeder,Ygritte,Arrow,Arrow,Ygritte killed him after Jon Snow couldn’t do so in a test of loyalty,The Gift,Night’s Watch,No Second Allegiance,Minor Character
Wildling,Jon Snow,Sword,Blade,Tried to kill Jon Snow when he failed a test of loyalty,The Gift,Free Folk,No Second Allegiance,Background Extra
Wildling,Summer,Direwolf teeth,Animal,Bran Stark “warged” into Summer’s mind to help protect Jon Snow from wildlings,The Gift,Free Folk,No Second Allegiance,Background Extra
Wildling,Shaggydog,Direwolf teeth,Animal,Bran warged into Summer’s mind to help protect Jon Snow from wildlings,The Gift,Free Folk,No Second Allegiance,Background Extra
Orell,Jon Snow,Sword,Blade,Tried to kill Jon Snow when he failed a test of loyalty,The Gift,Free Folk,No Second Allegiance,Secondary Major
Yunkai soldier,Jorah Mormont,Sword,Blade,Killed during sacking of Yunkai,Yunkai,Wise Masters,No Second Allegiance,Background Extra
Yunkai soldier,Daario Naharis,Arakh,Blade,Killed during sacking of Yunkai,Yunkai,Wise Masters,No Second Allegiance,Background Extra
Yunkai soldier,Grey Worm,Spear,Polearm,Killed during sacking of Yunkai,Yunkai,Wise Masters,No Second Allegiance,Background Extra
Yunkai soldier,Daario Naharis,Arakh,Blade,Killed during sacking of Yunkai,Yunkai,Wise Masters,No Second Allegiance,Background Extra
Yunkai soldier,Jorah Mormont,Sword,Blade,Killed during sacking of Yunkai,Yunkai,Wise Masters,No Second Allegiance,Background Extra
Yunkai soldier,Daario Naharis,Arakh,Blade,Killed during sacking of Yunkai,Yunkai,Wise Masters,No Second Allegiance,Background Extra
Yunkai soldier,Daario Naharis,Arakh,Blade,Killed during sacking of Yunkai,Yunkai,Wise Masters,No Second Allegiance,Background Extra
Yunkai soldier,Daario Naharis,Arakh,Blade,Killed during sacking of Yunkai,Yunkai,Wise Masters,No Second Allegiance,Background Extra
Yunkai soldier,Grey Worm,Spear,Polearm,Killed during sacking of Yunkai,Yunkai,Wise Masters,No Second Allegiance,Background Extra
Yunkai soldier,Daario Naharis,Knife,Blade,Killed during sacking of Yunkai,Yunkai,Wise Masters,No Second Allegiance,Background Extra
Yunkai soldier,Daario Naharis,Arakh,Blade,Killed during sacking of Yunkai,Yunkai,Wise Masters,No Second Allegiance,Background Extra
Unborn Stark child,Lothar Frey,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Minor Character
Talisa Stark,Lothar Frey,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Major Character
Stark soldier,Frey soldier,Arrow,Arrow,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Arrow,Arrow,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Arrow,Arrow,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Arrow,Arrow,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Sword,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Grey Wind,Frey soldier,Arrow,Arrow,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Major Character
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Robb Stark,Roose Bolton,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Major Character
Joyeuse Frey,Catelyn Stark,Knife,Blade,Killed during the Red Wedding,The Twins,House Frey,No Second Allegiance,Minor Character
Catelyn Stark,Black Walder Rivers,Knife,Blade,Killed during the Red Wedding,The Twins,House Stark,House Tully,Major Character
Stark soldier,Frey soldier,Sword,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Hanging,Other,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Stark soldier,Frey soldier,Sword,Blade,Killed during the Red Wedding,The Twins,House Stark,No Second Allegiance,Background Extra
Frey soldier,Arya Stark,Knife,Blade,Killed in revenge for the Red Wedding,Riverlands,House Frey,No Second Allegiance,Background Extra
Frey soldier,Sandor “the Hound” Clegane,Sword,Blade,Attacked after Arya Stark killed a Frey in revenge for the Red Wedding,Riverlands,House Frey,No Second Allegiance,Background Extra
Frey soldier,Sandor “the Hound” Clegane,Sword,Blade,Attacked after Arya Stark killed a Frey in revenge for the Red Wedding,Riverlands,House Frey,No Second Allegiance,Background Extra
Frey soldier,Sandor “the Hound” Clegane,Sword,Blade,Attacked after Arya Stark killed a Frey in revenge for the Red Wedding,Riverlands,House Frey,No Second Allegiance,Background Extra
